
Nigeria;primary;Texas;EB1A;;07/27/2009;07/27/2009;;premium;yes;08/04/2009;Number of overall citations, f... more;08/14/2009;approved;08/25/2009
Nigeria;primary;Texas;EB2-NIW;;02/27/2009;03/02/2009;03/02/2009;regular;no;;;;approved;08/20/2009
Malaysia;primary;Texas;EB3;05/15/2007;08/07/2007;10/02/2007;10/11/2007;regular;no;;;;approved;06/12/2009
Pakistan;primary;Nebraska;EB3;08/30/2008;07/08/2009;07/10/2009;07/10/2009;regular;no;;;;approved;09/10/2009
India;primary;Nebraska;EB2;;06/10/2009;06/10/2009;06/10/2009;regular;no;;;;approved;09/11/2009
India;primary;Nebraska;EB1B;09/03/2009;09/02/2009;09/03/2009;09/04/2009;premium;no;;;;approved;09/04/2009
India;primary;Texas;EB2;11/11/2007;11/06/2007;01/07/2008;;regular;;;;;pending;
India;primary;Nebraska;EB2;03/04/2007;06/08/2007;07/11/2007;07/11/2007;regular;yes;07/14/2009;Just now i got mail from USCIS... more;08/26/2009;denied;09/11/2009
India;primary;Texas;EB2;04/08/2007;09/02/2009;09/03/2009;09/03/2009;premium;no;;;;approved;09/10/2009
Malaysia;primary;Texas;EB3;10/14/2008;06/02/2009;;;regular;;;;;approved;07/25/2009
India;primary;Texas;EB2;09/16/2004;07/12/2007;07/13/2007;07/13/2007;regular;no;;N/A;;approved;07/27/2009
India;primary;Nebraska;EB2;09/04/2008;07/07/2009;07/08/2009;07/08/2009;regular;no;;;;approved;09/11/2009
India;primary;Texas;EB2;04/24/2004;08/10/2007;08/12/2007;08/15/2007;regular;no;;;;approved;05/12/2008
India;primary;Texas;EB2;01/03/2003;09/20/2007;10/18/2007;;regular;;;;;pending;
France;primary;Nebraska;EB2;09/26/2008;06/29/2009;07/02/2009;07/03/2009;regular;no;;;;approved;09/10/2009
India;primary;Nebraska;EB3;02/10/2006;05/20/2006;;;regular;no;;;;approved;01/22/2007
India;primary;Texas;EB2;08/15/2007;08/14/2007;;;premium;;;;;approved;07/19/2008
Nigeria;primary;Nebraska;EB2-NIW;;03/17/2009;03/19/2009;03/19/2009;regular;yes;08/18/2009;Criteria for for NIW;08/25/2009;approved;09/10/2009
India;primary;Nebraska;EB1C;09/09/2008;09/09/2008;09/09/2008;09/09/2008;regular;yes;03/10/2009;;05/10/2009;approved;09/09/2009
India;primary;Texas;EB3;04/01/2002;10/06/2006;10/06/2006;;regular;no;;;;approved;07/16/2007
India;primary;Texas;EB2;10/14/2008;07/30/2009;;;regular;;;;;approved;09/09/2009
India;primary;Texas;EB1A;;08/05/2008;08/05/2008;08/06/2008;regular;yes;05/06/2009;I guess it is a mix-up on USCI... more;05/28/2009;denied;06/16/2009
Bulgaria;primary;Nebraska;EB2;;06/01/2009;06/04/2009;06/05/2009;regular;;;;;approved;09/10/2009
India;primary;Nebraska;EB2;08/07/2008;07/07/2009;07/08/2009;;regular;no;;;;approved;09/09/2009
India;primary;Nebraska;EB1C;;04/17/2009;04/20/2009;04/21/2009;regular;;;;;pending;
